照片文件名,菜品名,价格(元),口味标签,食材,备注
bj_001.jpg,红烧肉,12,甜咸;浓油,五花肉;冰糖;生抽,北京交大二食堂
bj_002.jpg,糖醋里脊,10,酸甜;酥脆,猪里脊;番茄酱;白醋,北京交大二食堂
bj_003.jpg,鱼香肉丝,9,微辣;酸辣,猪肉;木耳;胡萝卜,北京交大二食堂
bj_004.jpg,宫保鸡丁,8,麻辣;花生,鸡肉;花生;干辣椒,北京交大二食堂
bj_005.jpg,土豆牛肉,14,咸鲜;软烂,牛肉;土豆;洋葱,北京交大二食堂
sh_006.jpg,可乐鸡翅,10,甜咸;可乐,鸡翅;可乐;生姜,上海交大闵行
sh_007.jpg,麻婆豆腐,6,麻辣;嫩滑,豆腐;肉末;豆瓣酱,上海交大闵行
sh_008.jpg,回锅肉,11,香辣;豆豉,五花肉;青椒;豆豉,上海交大闵行
sh_009.jpg,口水鸡,9,麻辣;凉菜,鸡腿;花椒;黄瓜,上海交大闵行
sh_010.jpg,辣子鸡,10,香辣;油炸,鸡肉;干辣椒;花生,上海交大闵行
bj_011.jpg,香菇滑鸡,9,咸鲜;嫩滑,鸡肉;香菇;生姜,北京林大
bj_012.jpg,青椒炒鸡蛋,5,清淡;家常,鸡蛋;青椒;盐,北京林大
bj_013.jpg,番茄鸡蛋,5,酸甜;家常,番茄;鸡蛋;糖,北京林大
bj_014.jpg,干煸豆角,6,微辣;干香,豆角;肉末;干辣椒,北京林大
bj_015.jpg,蚂蚁上树,7,微辣;粉丝,粉丝;肉末;豆瓣酱,北京林大
sh_016.jpg,蒜蓉粉丝蒸扇贝,15,蒜香;海鲜,扇贝;粉丝;大蒜,上海海洋大学
sh_017.jpg,黑椒牛柳,13,黑椒;嫩肉,牛柳;黑胡椒;洋葱,上海海洋大学
sh_018.jpg,香煎鲳鱼,12,咸鲜;煎制,鲳鱼;盐;生姜,上海海洋大学
sh_019.jpg,清炒时蔬,4,清淡;时令,青菜;盐;蒜,上海海洋大学
sh_020.jpg,冬瓜排骨汤,8,清淡;汤鲜,排骨;冬瓜;生姜,上海海洋大学
bj_021.jpg,京酱肉丝,11,甜咸;酱香,猪肉;甜面酱;葱丝,北京科大
bj_022.jpg,葱爆羊肉,14,葱香;爆制,羊肉;大葱;生抽,北京科大
bj_023.jpg,醋溜白菜,4,酸爽;脆嫩,白菜;醋;干辣椒,北京科大
bj_024.jpg,酸辣土豆丝,5,酸辣;脆爽,土豆;醋;青椒,北京科大
bj_025.jpg,干锅花菜,8,香辣;干锅,花菜;五花肉;干辣椒,北京科大
sh_026.jpg,白切鸡,9,清淡;原味,三黄鸡;生姜;葱,上海大学
sh_027.jpg,蜜汁叉烧,13,甜咸;烤制,五花肉;蜂蜜;叉烧酱,上海大学
sh_028.jpg,蚝油生菜,5,鲜咸;爽脆,生菜;蚝油;蒜,上海大学
sh_029.jpg,蒜蓉开边虾,14,蒜香;蒸制,基围虾;大蒜;粉丝,上海大学
sh_030.jpg,苦瓜炒蛋,6,清苦;下火,苦瓜;鸡蛋;盐,上海大学
bj_031.jpg,东北乱炖,10,咸鲜;混搭,排骨;玉米;豆角,北京农大
bj_032.jpg,酸菜白肉,9,酸爽;东北,酸菜;五花肉;粉丝,北京农大
bj_033.jpg,地三鲜,7,咸鲜;家常,茄子;土豆;青椒,北京农大
bj_034.jpg,锅包肉,11,酸甜;酥脆,猪里脊;糖醋汁;胡萝卜,北京农大
bj_035.jpg,小鸡炖蘑菇,12,咸鲜;炖制,土鸡;榛蘑;粉条,北京农大
sh_036.jpg,咖喱鸡丁,9,咖喱;微辣,鸡肉;土豆;洋葱,上海师大
sh_037.jpg,三杯鸡,10,酱香;甜味,鸡肉;酱油;糖,上海师大
sh_038.jpg,菠萝古老肉,12,酸甜;水果,里脊;菠萝;彩椒,上海师大
sh_039.jpg,清炒豆苗,5,清香;嫩绿,豆苗;盐;蒜,上海师大
sh_040.jpg,紫菜蛋花汤,3,清淡;速食,紫菜;鸡蛋;葱花,上海师大
bj_041.jpg,酱牛肉,15,咸鲜;酱制,牛腱;酱油;香料,北京理工
bj_042.jpg,椒盐排条,12,椒盐;酥脆,猪排;椒盐;淀粉,北京理工
bj_043.jpg,干煎带鱼,11,咸鲜;煎制,带鱼;盐;生姜,北京理工
bj_044.jpg,蒜泥茄子,6,蒜香;软烂,茄子;大蒜;酱油,北京理工
bj_045.jpg,酸辣蕨根粉,6,酸辣;爽滑,蕨根粉;醋;辣椒,北京理工
sh_046.jpg,番茄牛腩,14,酸甜;牛肉,牛腩;番茄;洋葱,上海理工
sh_047.jpg,蒜香骨,13,蒜香;炸制,排骨;大蒜;面包糠,上海理工
sh_048.jpg,清蒸鲈鱼,12,清淡;蒸制,鲈鱼;蒸鱼豉油;葱,上海理工
sh_049.jpg,上汤菠菜,5,鲜咸;汤菜,菠菜;皮蛋;咸蛋,上海理工
sh_050.jpg,红豆汤,3,清甜;糖水,红豆;糖;水,上海理工
