照片文件名,菜品名,价格(元),口味标签,食材,备注
bj_051.jpg,火爆腰花,14,香辣;脆嫩,猪腰;青椒;洋葱,北京交大二食堂
bj_052.jpg,酸菜鱼,16,酸辣;鱼片,黑鱼;酸菜;泡椒,北京交大二食堂
bj_053.jpg,毛血旺,18,麻辣;血旺,鸭血;毛肚;黄喉,北京交大二食堂
bj_054.jpg,水煮牛肉,15,麻辣;嫩滑,牛肉;豆芽;莴笋,北京交大二食堂
bj_055.jpg,钵钵鸡,13,麻辣;冷吃,鸡肉;藕片;土豆,北京交大二食堂
sh_056.jpg,盐水鸭,11,咸鲜;鸭肉,鸭肉;花椒;盐,上海交大闵行
sh_057.jpg,鸭血粉丝汤,8,微辣;汤鲜,鸭血;粉丝;豆腐,上海交大闵行
sh_058.jpg,金陵丸子,10,咸鲜;大肉丸,猪肉;白菜;鸡蛋,上海交大闵行
sh_059.jpg,清蒸白鱼,12,清淡;蒸制,白鱼;蒸鱼豉油;葱,上海交大闵行
sh_060.jpg,蟹粉豆腐,14,鲜咸;蟹味,蟹粉;豆腐;高汤,上海交大闵行
bj_061.jpg,京式爆肚,13,蒜香;脆嫩,牛肚;大蒜;香菜,北京林大
bj_062.jpg,炒合菜,7,咸鲜;混搭,韭菜;豆芽;粉条,北京林大
bj_063.jpg,贴饼子炖小鱼,11,咸鲜;农家,玉米饼;小鲫鱼;豆腐,北京林大
bj_064.jpg,山野菜摊鸡蛋,6,清香;野味,山野菜;鸡蛋;盐,北京林大
bj_065.jpg,大锅菜,8,咸鲜;炖制,五花肉;白菜;豆腐,北京林大
sh_066.jpg,上海炒面,9,酱香;炒面,面条;肉丝;青菜,上海海洋大学
sh_067.jpg,生煎包,2,鲜咸;煎包,猪肉;面粉;芝麻,上海海洋大学
sh_068.jpg,油豆腐粉丝汤,5,清淡;汤鲜,油豆腐;粉丝;葱花,上海海洋大学
sh_069.jpg,糖醋小排,10,酸甜;小排,猪小排;糖;醋,上海海洋大学
sh_070.jpg,四喜烤麸,6,甜咸;烤麸,烤麸;木耳;花生,上海海洋大学
bj_071.jpg,芥末鸭掌,12,芥末;冲味,鸭掌;芥末;生抽,北京科大
bj_072.jpg,铁板牛肉,15,黑椒;铁板,牛肉;洋葱;黑胡椒,北京科大
bj_073.jpg,香煎藕盒,8,咸鲜;煎制,藕;猪肉;面粉,北京科大
bj_074.jpg,拔丝地瓜,6,拔丝;甜脆,地瓜;糖;油,北京科大
bj_075.jpg,酸菜炖粉条,7,酸爽;炖制,酸菜;粉条;五花肉,北京科大
sh_076.jpg,百叶结烧肉,11,咸鲜;百叶,五花肉;百叶;生抽,上海大学
sh_077.jpg,糟溜鱼片,12,糟香;溜制,鱼片;香糟;蛋清,上海大学
sh_078.jpg,油爆河虾,14,油爆;甜鲜,河虾;糖;生抽,上海大学
sh_079.jpg,清炒空心菜,4,清淡;绿叶,空心菜;盐;蒜,上海大学
sh_080.jpg,酒酿圆子,5,甜酒;圆子,酒酿;糯米圆子;糖,上海大学
bj_081.jpg,驴打滚,4,甜糯;豆面,糯米;红豆;黄豆面,北京农大
bj_082.jpg,豌豆黄,3,清甜;豆香,豌豆;糖;琼脂,北京农大
bj_083.jpg,炒麻豆腐,5,微酸;豆香,麻豆腐;羊尾;雪里蕻,北京农大
bj_084.jpg,糖火烧,3,焦糖;火烧,面粉;红糖;芝麻,北京农大
bj_085.jpg,豆汁焦圈,4,酸爽;京味,豆汁;焦圈;咸菜,北京农大
sh_086.jpg,鲜肉月饼,3,鲜咸;酥皮,猪肉;酥皮;芝麻,上海师大
sh_087.jpg,双酿团,4,甜糯;双馅,糯米;豆沙;芝麻,上海师大
sh_088.jpg,擂沙圆,5,豆香;圆子,糯米圆子;红豆;糖,上海师大
sh_089.jpg,排骨年糕,8,咸甜;年糕,排骨;年糕;糖,上海师大
sh_090.jpg,葱油拌面,7,葱香;拌面,面条;葱油;生抽,上海师大
bj_091.jpg,炸酱面,8,酱香;拌面,面条;炸酱;黄瓜丝,北京理工
bj_092.jpg,卤煮火烧,10,咸鲜;卤煮,猪肠;火烧;豆腐,北京理工
bj_093.jpg,爆肚冯,12,蒜香;爆制,羊肚;大蒜;香菜,北京理工
bj_094.jpg,炒肝,6,咸鲜;勾芡,猪肝;肠;蒜末,北京理工
bj_095.jpg,灌肠,5,焦香;蒜汁,猪肠;淀粉;蒜汁,北京理工
sh_096.jpg,小绍兴白斩鸡,9,清淡;原味,三黄鸡;生姜;葱,上海理工
sh_097.jpg,红烧狮子头,11,咸甜;大肉丸,猪肉;马蹄;生抽,上海理工
sh_098.jpg,虾籽大乌参,18,鲜咸;乌参,乌参;虾籽;高汤,上海理工
sh_099.jpg,桂花糖藕,6,甜糯;桂花,藕;糯米;桂花,上海理工
sh_100.jpg,绿豆百合汤,3,清甜;解暑,绿豆;百合;糖,上海理工
