照片文件名,菜品名,价格(元),口味标签,食材,备注
bj_101.jpg,徽州臭鳜鱼,18,微臭;蒜瓣肉,鳜鱼;五花肉;冬笋,北京交大二食堂
bj_102.jpg,毛豆腐,12,微臭;煎制,豆腐;辣椒酱;菜籽油,北京交大二食堂
bj_103.jpg,胡适一品锅,20,咸鲜;层次,蛋饺;肉圆;干角,北京交大二食堂
bj_104.jpg,黄山炖鸽,15,清鲜;炖汤,乳鸽;黄山山药;火腿,北京交大二食堂
bj_105.jpg,椒盐皮皮虾,16,椒盐;炸制,皮皮虾;椒盐;淀粉,北京交大二食堂
sh_106.jpg,上海白切羊肉,14,清淡;原味,带皮羊肉;生姜;葱,上海交大闵行
sh_107.jpg,红烧羊肉,15,酱香;浓味,羊肉;冰糖;酱油,上海交大闵行
sh_108.jpg,羊肉炉,13,药膳;温补,羊肉;当归;枸杞,上海交大闵行
sh_109.jpg,清炖羊蝎子,12,清鲜;羊蝎,羊蝎子;白萝卜;生姜,上海交大闵行
sh_110.jpg,铁板孜然羊肉,17,孜然;铁板,羊肉;孜然;洋葱,上海交大闵行
bj_111.jpg,西北手抓羊肉,16,原味;手抓,羊肋排;花椒盐;洋葱,北京林大
bj_112.jpg,兰州拉面,9,清汤;牛肉,面条;牛肉片;白萝卜,北京林大
bj_113.jpg,大盘鸡,18,香辣;土豆,土鸡;土豆;青椒,北京林大
bj_114.jpg,馕包肉,15,酱香;馕,羊肉;馕;洋葱,北京林大
bj_115.jpg,烤羊肉串,2,孜然;炭烤,羊肉;孜然;辣椒面,北京林大
sh_116.jpg,上海生煎,2,酥脆;肉汁,猪肉;面粉;芝麻,上海海洋大学
sh_117.jpg,蟹壳黄,3,酥脆;芝麻,面粉;猪油;芝麻,上海海洋大学
sh_118.jpg,南翔小笼,2,薄皮;汤鲜,猪肉;皮冻;面粉,上海海洋大学
sh_119.jpg,四喜烤麸,5,甜咸;烤麸,烤麸;木耳;花生,上海海洋大学
sh_120.jpg,百叶包肉,8,咸鲜;百叶,猪肉;百叶;高汤,上海海洋大学
bj_121.jpg,天津煎饼果子,6,酥脆;蛋香,绿豆面;鸡蛋;油条,北京科大
bj_122.jpg,狗不理包子,3,鲜咸;灌汤,猪肉;面粉;皮冻,北京科大
bj_123.jpg,耳朵眼炸糕,4,甜糯;油炸,糯米粉;红豆;糖,北京科大
bj_124.jpg,十八街麻花,5,酥脆;五香,面粉;芝麻;糖,北京科大
bj_125.jpg,锅巴菜,5,卤香;锅巴,锅巴;卤汁;香菜,北京科大
sh_126.jpg,老上海焖蹄面,12,浓汤;焖蹄,面条;猪蹄;青菜,上海大学
sh_127.jpg,素蟹粉包,3,素香;蟹味,土豆;胡萝卜;醋,上海大学
sh_128.jpg,双酿团,4,甜糯;双馅,糯米;豆沙;芝麻,上海大学
sh_129.jpg,擂沙圆,5,豆香;圆子,糯米圆子;红豆;糖,上海大学
sh_130.jpg,排骨年糕,8,咸甜;年糕,排骨;年糕;糖,上海大学
bj_131.jpg,保定驴肉火烧,7,酥脆;驴肉,火烧;驴肉;香菜,北京农大
bj_132.jpg,石家庄宫面,8,清汤;宫面,宫面;鸡汤;香菇,北京农大
bj_133.jpg,正定马家卤鸡,15,卤香;脱骨,土鸡;老卤;香料,北京农大
bj_134.jpg,金凤扒鸡,12,五香;扒制,土鸡;五香粉;糖,北京农大
bj_135.jpg,棋子烧饼,3,酥脆;肉香,面粉;猪肉;芝麻,北京农大
sh_136.jpg,河北驴打滚,4,甜糯;豆面,糯米;红豆;黄豆面,上海师大
sh_137.jpg,唐山蜂蜜麻糖,5,蜂蜜;酥脆,面粉;蜂蜜;芝麻,上海师大
sh_138.jpg,石家庄回民扒鸡,13,五香;扒鸡,土鸡;香料;糖,上海师大
sh_139.jpg,保定面酱,2,酱香;蘸料,面粉;黄豆;盐,上海师大
sh_140.jpg,邯郸拽面,7,筋道;肉卤,面条;牛肉卤;香菜,上海师大
bj_141.jpg,山西刀削面,8,筋道;肉臊,刀削面;猪肉臊;香菜,北京理工
bj_142.jpg,太原头脑,10,药膳;浓汤,羊肉;山药;黄酒,北京理工
bj_143.jpg,平遥牛肉,15,咸鲜;牛肉,牛肉;盐;香料,北京理工
bj_144.jpg,过油肉,12,滑嫩;过油,猪肉;木耳;蒜,北京理工
bj_145.jpg,莜面栲栳栳,8,粗粮;蘸汁,莜面;番茄汁;蒜,北京理工
sh_146.jpg,山西猫耳朵,7,筋道;炒制,猫耳朵;鸡蛋;番茄,上海理工
sh_147.jpg,运城大盘鸡,16,香辣;土豆,土鸡;土豆;宽面,上海理工
sh_148.jpg,阳泉压饼,4,酥脆;压烤,面粉;鸡蛋;芝麻,上海理工
sh_149.jpg,定州焖子,6,五香;肉糕,猪肉;淀粉;香料,上海理工
sh_150.jpg,吕梁碗托,5,酸辣;碗托,荞麦;醋;辣椒,上海理工
