照片文件名,菜品名,价格(元),口味标签,食材,备注
bj_151.jpg,洛阳水席燕菜,20,酸辣;燕窝丝,白萝卜;燕窝;高汤,北京交大二食堂
bj_152.jpg,焦炸丸子,12,焦香;炸制,猪肉丸;淀粉;椒盐,北京交大二食堂
bj_153.jpg,蒜子鱼丁,14,蒜香;鱼丁,草鱼;大蒜;青椒,北京交大二食堂
bj_154.jpg,红焖羊肉,16,酱香;焖制,羊肉;山药;酱油,北京交大二食堂
bj_155.jpg,清蒸武昌鱼,18,清淡;蒸制,武昌鱼;蒸鱼豉油;葱,北京交大二食堂
sh_156.jpg,沔阳三蒸,13,蒸制;三味,粉蒸肉;蒸鱼;蒸菜,上海交大闵行
sh_157.jpg,洪湖鸭焖莲藕,15,鲜咸;藕香,土鸭;莲藕;生抽,上海交大闵行
sh_158.jpg,荆州鱼糕,10,嫩滑;鱼糜,草鱼糜;蛋清;淀粉,上海交大闵行
sh_159.jpg,黄州东坡肉,18,甜咸;东坡,五花肉;黄酒;冰糖,上海交大闵行
sh_160.jpg,罗田板栗烧鸡,14,甜糯;板栗,土鸡;板栗;生抽,上海交大闵行
bj_161.jpg,长沙剁椒鱼头,19,剁椒;鱼头,胖头鱼;剁椒;蒸鱼豉油,北京林大
bj_162.jpg,口味虾,16,口味;麻辣,小龙虾;剁椒;花椒,北京林大
bj_163.jpg,糖油粑粑,4,甜糯;油炸,糯米粉;红糖;油,北京林大
bj_164.jpg,湖南酱板鸭,15,酱香;板鸭,麻鸭;酱卤;辣椒,北京林大
bj_165.jpg,刮凉粉,5,酸辣;爽滑,凉粉;醋;辣椒,北京林大
sh_166.jpg,南昌瓦罐汤,8,瓦罐;炖汤,土鸡;山药;枸杞,上海海洋大学
sh_167.jpg,鄱阳湖胖鱼头,17,鲜辣;鱼头,胖头鱼;辣椒;蒸制,上海海洋大学
sh_168.jpg,九江茶饼,3,茶香;酥脆,面粉;茶油;芝麻,上海海洋大学
sh_169.jpg,余干辣椒炒肉,11,香辣;余干椒,猪肉;余干辣椒;豆豉,上海海洋大学
sh_170.jpg,景德镇冷粉,6,冷吃;酸辣,米粉;醋;辣椒,上海海洋大学
bj_171.jpg,徽州毛豆腐,11,微臭;煎制,毛豆腐;辣椒酱;菜籽油,北京科大
bj_172.jpg,黄山炖鸽,14,清鲜;炖汤,乳鸽;黄山山药;火腿,北京科大
bj_173.jpg,徽州刀板香,16,咸鲜;刀板,腊肉;笋;刀板,北京科大
bj_174.jpg,绩溪炒面,9,筋道;炒面,面条;腊肉;笋,北京科大
bj_175.jpg,问政山笋,13,清鲜;山笋,山笋;火腿;高汤,北京科大
sh_176.jpg,杭州东坡肉,18,甜咸;东坡,五花肉;黄酒;冰糖,上海大学
sh_177.jpg,西湖醋鱼,16,酸甜;草鱼,草鱼;醋;糖,上海大学
sh_178.jpg,龙井虾仁,22,茶香;清鲜,河虾仁;龙井茶;蛋清,上海大学
sh_179.jpg,宋嫂鱼羹,14,酸辣;鱼羹,鳜鱼;醋;胡椒,上海大学
sh_180.jpg,叫化童鸡,20,原味;泥烤,童子鸡;荷叶;泥巴,上海大学
bj_181.jpg,宁波汤圆,4,甜糯;汤团,糯米粉;黑芝麻;糖,北京农大
bj_182.jpg,奉化千层饼,5,酥脆;分层,面粉;猪油;芝麻,北京农大
bj_183.jpg,绍兴臭豆腐,6,臭香;油炸,臭豆腐;辣酱;蒜末,北京农大
bj_184.jpg,金华酥饼,4,酥脆;梅干菜,面粉;梅干菜;猪油,北京农大
bj_185.jpg,义乌红糖麻花,5,红糖;酥脆,面粉;红糖;芝麻,北京农大
sh_186.jpg,温州糯米饭,8,咸鲜;糯米,糯米;香菇;肉末,上海师大
sh_187.jpg,永嘉麦饼,7,麦饼;咸菜,面粉;咸菜;肉末,上海师大
sh_188.jpg,洞头紫菜鱼丸,12,海鲜;紫菜,鲅鱼;紫菜;生姜,上海师大
sh_189.jpg,泰顺婆饼,6,酥脆;婆饼,面粉;猪肉;葱,上海师大
sh_190.jpg,苍南肉燕,8,燕皮;鲜肉,燕皮;猪肉;高汤,上海师大
bj_191.jpg,福州佛跳墙,25,浓汤;海味,鲍鱼;海参;花胶,北京理工
bj_192.jpg,厦门沙茶面,10,沙茶;汤面,油面;沙茶酱;海蛎,北京理工
bj_193.jpg,泉州牛肉羹,12,牛肉;羹汤,牛肉;地瓜粉;姜丝,北京理工
bj_194.jpg,莆田卤面,11,卤汤;海鲜,面条;海蛎;香菇,北京理工
bj_195.jpg,漳州手抓面,8,抓面;甜辣,碱面;甜辣酱;蒜末,北京理工
sh_196.jpg,同安封肉,18,封肉;软糯,五花肉;香菇;酱油,上海理工
sh_197.jpg,闽南醋肉,10,醋香;酥肉,猪肉;醋;淀粉,上海理工
sh_198.jpg,土笋冻,6,海味;冻品,土笋;清汤;蒜末,上海理工
sh_199.jpg,惠安炸枣,4,甜糯;油炸,糯米粉;红糖;芝麻,上海理工
sh_200.jpg,安溪湖头米粉,7,米粉;清汤,湖头米粉;海蛎;葱花,上海理工
