照片文件名,菜品名,价格(元),口味标签,食材,备注
bj_201.jpg,海南文昌鸡,22,清淡;原味,文昌鸡;生姜;葱,北京交大二食堂
bj_202.jpg,加积鸭,20,咸鲜;肥美,加积鸭;盐;生姜,北京交大二食堂
bj_203.jpg,东山羊,18,无膻;羊肉,东山羊;清汤;枸杞,北京交大二食堂
bj_204.jpg,和乐蟹,16,鲜甜;蟹肉,和乐蟹;蒸制;姜醋,北京交大二食堂
bj_205.jpg,海南粉,8,酸辣;米粉,海南粉;酸菜;牛肉干,北京交大二食堂
sh_206.jpg,广西螺蛳粉,9,酸辣;臭笋,米粉;酸笋;腐竹,上海交大闵行
sh_207.jpg,桂林米粉,8,卤香;干粉,米粉;卤汁;叉烧,上海交大闵行
sh_208.jpg,阳朔啤酒鱼,17,啤酒;鱼香,漓江鱼;啤酒;番茄,上海交大闵行
sh_209.jpg,荔浦芋扣肉,15,软糯;芋香,五花肉;荔浦芋;腐乳,上海交大闵行
sh_210.jpg,梧州纸包鸡,14,纸包;锁汁,三黄鸡;香菇;蚝油,上海交大闵行
bj_211.jpg,云南过桥米线,10,清汤;米线,米线;土鸡;韭菜,北京林大
bj_212.jpg,汽锅鸡,16,清汤;汽锅,土鸡;汽锅;枸杞,北京林大
bj_213.jpg,宣威火腿,20,咸香;火腿,宣威火腿;蜂蜜;白酒,北京林大
bj_214.jpg,云南饵块,6,软糯;饵块,饵块;肉末;酸菜,北京林大
bj_215.jpg,野生菌火锅,25,菌香;火锅,鸡枞;牛肝菌;高汤,北京林大
sh_216.jpg,贵州酸汤鱼,17,酸汤;鱼鲜,稻花鱼;酸汤;木姜子,上海海洋大学
sh_217.jpg,贵阳肠旺面,10,辣香;肠旺,鸡蛋面;猪大肠;血旺,上海海洋大学
sh_218.jpg,遵义羊肉粉,9,辣香;羊肉,羊肉;米粉;花椒,上海海洋大学
sh_219.jpg,安顺破酥包,3,酥皮;破酥,面粉;猪肉;猪油,上海海洋大学
sh_220.jpg,都匀冲冲糕,4,清甜;冲制,糯米;红糖;芝麻,上海海洋大学
bj_221.jpg,四川回锅肉,12,香辣;豆豉,五花肉;青椒;豆豉,北京科大
bj_222.jpg,成都麻婆豆腐,8,麻辣;嫩豆,豆腐;肉末;豆瓣酱,北京科大
bj_223.jpg,重庆水煮鱼,16,麻辣;鱼片,草鱼;豆芽;干辣椒,北京科大
bj_224.jpg,乐山钵钵鸡,10,麻辣;冷串,鸡肉;藕片;辣椒油,北京科大
bj_225.jpg,宜宾燃面,7,干香;燃面,面条;芽菜;花生,北京科大
sh_226.jpg,云南鲜花饼,5,花香;酥皮,面粉;玫瑰;猪油,上海海洋大学
sh_227.jpg,香格里拉松茸,28,菌香;松茸,松茸;黄油;煎制,上海海洋大学
sh_228.jpg,大理乳扇,6,乳香;烤制,乳扇;玫瑰;糖,上海海洋大学
sh_229.jpg,丽江粑粑,5,软糯;粑粑,糯米;火腿;糖,上海海洋大学
sh_230.jpg,怒江漆油鸡,15,漆油;温补,土鸡;漆油;生姜,上海海洋大学
bj_231.jpg,西藏酥油茶,3,咸香;酥油,酥油;茶叶;盐,北京农大
bj_232.jpg,青稞酒,8,清香;青稞,青稞;酒曲;水,北京农大
bj_233.jpg,风干牦牛肉,22,风干;牦牛肉,牦牛肉;盐;花椒,北京农大
bj_234.jpg,藏式血肠,10,血香;肠衣,牦牛血;肠衣;香料,北京农大
bj_235.jpg,石锅鸡,16,石锅;炖制,土鸡;松茸;石锅,北京农大
sh_236.jpg,陕西羊肉泡馍,15,浓汤;泡馍,羊肉;馍;粉丝,上海师大
sh_237.jpg,西安肉夹馍,6,酥脆;肉臊,白吉馍;猪肉;青椒,上海师大
sh_238.jpg,陕西凉皮,7,酸辣;凉皮,凉皮;黄瓜;豆芽,上海师大
sh_239.jpg,岐山臊子面,9,酸辣;臊子,面条;猪肉臊;豆腐,上海师大
sh_240.jpg,Biangbiang面,10,筋道;油泼,宽面;辣椒;豆芽,上海师大
bj_241.jpg,甘肃兰州牛肉面,9,清汤;牛肉,面条;牛肉;白萝卜,北京理工
bj_242.jpg,天水呱呱,5,酸辣;呱呱,荞麦;醋;蒜,北京理工
bj_243.jpg,平凉锅盔,4,酥脆;锅盔,面粉;芝麻;盐,北京理工
bj_244.jpg,庆阳搅团,6,酸辣;搅团,荞麦;醋;辣椒,北京理工
bj_245.jpg,河西羊羔肉,20,清炖;羊羔,羊羔肉;清汤;萝卜,北京理工
sh_246.jpg,宁夏手抓羊肉,18,原味;手抓,滩羊肉;花椒盐;洋葱,上海理工
sh_247.jpg,银川羊肉泡馍,14,浓汤;泡馍,羊肉;馍;粉丝,上海理工
sh_248.jpg,吴忠炒糊饽,8,炒糊;饽子,面粉;羊肉;辣椒,上海理工
sh_249.jpg,固原烧鸡,12,五香;烧鸡,土鸡;香料;糖,上海理工
sh_250.jpg,中卫蒿子面,7,蒿子;面条,面粉;蒿子;羊肉,上海理工
