照片文件名,菜品名,价格(元),口味标签,食材,备注
bj_251.jpg,青海手抓羊肉,19,原味;手抓,滩羊肉;花椒盐;洋葱,北京交大二食堂
bj_252.jpg,西宁羊肉泡馍,15,浓汤;泡馍,羊肉;馍;粉丝,北京交大二食堂
bj_253.jpg,青海土火锅,22,麻辣;火锅,牛肉;丸子;蔬菜,北京交大二食堂
bj_254.jpg,狗浇尿油饼,5,葱香;煎制,面粉;葱花;菜籽油,北京交大二食堂
bj_255.jpg,甜醅,3,甜酒;发酵,青稞;酒曲;水,北京交大二食堂
sh_256.jpg,新疆大盘鸡,20,香辣;土豆,土鸡;土豆;宽面,上海交大闵行
sh_257.jpg,乌鲁木齐手抓饭,16,羊油;抓饭,羊肉;胡萝卜;米饭,上海交大闵行
sh_258.jpg,烤羊肉串,2,孜然;炭烤,羊肉;孜然;辣椒,上海交大闵行
sh_259.jpg,馕包肉,15,酱香;馕,羊肉;馕;洋葱,上海交大闵行
sh_260.jpg,新疆酸奶,4,酸甜;发酵,牛奶;菌种;糖,上海交大闵行
bj_261.jpg,内蒙手扒羊肉,20,原味;手扒,羔羊;花椒盐;洋葱,北京林大
bj_262.jpg,呼和浩特羊杂汤,12,浓汤;羊杂,羊杂;粉丝;香菜,北京林大
bj_263.jpg,蒙古奶茶,3,咸香;奶茶,砖茶;牛奶;盐,北京林大
bj_264.jpg,奶豆腐,5,奶香;豆腐,牛奶;发酵;糖,北京林大
bj_265.jpg,炒米,4,焦香;炒米,糜米;黄油;糖,北京林大
sh_266.jpg,东北地三鲜,8,咸鲜;家常,茄子;土豆;青椒,上海海洋大学
sh_267.jpg,哈尔滨锅包肉,12,酸甜;酥脆,猪里脊;糖醋;胡萝卜,上海海洋大学
sh_268.jpg,齐齐哈尔烤肉,14,孜然;炭烤,牛肉;孜然;洋葱,上海海洋大学
sh_269.jpg,大庆扒鸡,11,五香;扒鸡,土鸡;香料;糖,上海海洋大学
sh_270.jpg,佳木斯拌面,9,酱香;拌面,面条;肉酱;黄瓜,上海海洋大学
bj_271.jpg,河南烩面,10,浓汤;烩面,羊汤;宽面;海带,北京科大
bj_272.jpg,郑州胡辣汤,6,胡辣;早餐,牛肉;面筋;胡椒,北京科大
bj_273.jpg,开封灌汤包,5,灌汤;小笼,猪肉;皮冻;薄皮,北京科大
bj_274.jpg,洛阳水席燕菜,20,酸辣;燕窝丝,白萝卜;燕窝;高汤,北京科大
bj_275.jpg,道口烧鸡,15,五香;烧鸡,土鸡;香料;糖,北京科大
sh_276.jpg,湖北热干面,8,麻酱;干拌,碱面;芝麻酱;萝卜丁,上海大学
sh_277.jpg,武汉豆皮,4,豆皮;糯米,糯米;鸡蛋;豆皮,上海大学
sh_278.jpg,武昌鱼,16,清蒸;武昌鱼,武昌鱼;蒸鱼豉油;葱,上海大学
sh_279.jpg,荆州鱼糕,10,嫩滑;鱼糜,草鱼糜;蛋清;淀粉,上海大学
sh_280.jpg,洪湖鸭焖莲藕,14,鲜咸;藕香,土鸭;莲藕;生抽,上海大学
bj_281.jpg,湖南剁椒鱼头,19,剁椒;鱼头,胖头鱼;剁椒;蒸制,北京农大
bj_282.jpg,口味虾,16,口味;麻辣,小龙虾;剁椒;花椒,北京农大
bj_283.jpg,长沙糖油粑粑,4,甜糯;油炸,糯米粉;红糖;油,北京农大
bj_284.jpg,湖南酱板鸭,15,酱香;板鸭,麻鸭;酱卤;辣椒,北京农大
bj_285.jpg,刮凉粉,5,酸辣;爽滑,凉粉;醋;辣椒,北京农大
sh_286.jpg,江西瓦罐汤,9,瓦罐;炖汤,土鸡;山药;枸杞,上海师大
sh_287.jpg,南昌拌粉,7,酸辣;拌粉,米粉;醋;辣椒,上海师大
sh_288.jpg,鄱阳湖胖鱼头,17,鲜辣;鱼头,胖头鱼;辣椒;蒸制,上海师大
sh_289.jpg,景德镇冷粉,6,冷吃;酸辣,米粉;醋;辣椒,上海师大
sh_290.jpg,九江茶饼,3,茶香;酥脆,面粉;茶油;芝麻,上海师大
bj_291.jpg,四川回锅肉,12,香辣;豆豉,五花肉;青椒;豆豉,北京理工
bj_292.jpg,成都麻婆豆腐,8,麻辣;嫩豆,豆腐;肉末;豆瓣酱,北京理工
bj_293.jpg,重庆水煮鱼,16,麻辣;鱼片,草鱼;豆芽;干辣椒,北京理工
bj_294.jpg,乐山钵钵鸡,10,麻辣;冷串,鸡肉;藕片;辣椒油,北京理工
bj_295.jpg,宜宾燃面,7,干香;燃面,面条;芽菜;花生,北京理工
sh_296.jpg,云南过桥米线,10,清汤;米线,米线;土鸡;韭菜,上海理工
sh_297.jpg,汽锅鸡,16,清汤;汽锅,土鸡;汽锅;枸杞,上海理工
sh_298.jpg,宣威火腿,20,咸香;火腿,宣威火腿;蜂蜜;白酒,上海理工
sh_299.jpg,云南饵块,6,软糯;饵块,饵块;肉末;酸菜,上海理工
sh_300.jpg,野生菌火锅,25,菌香;火锅,鸡枞;牛肝菌;高汤,上海理工
