照片文件名,菜品名,价格(元),口味标签,食材,备注
bj_301.jpg,蒜泥白肉,18,蒜香;微辣,五花肉;蒜泥;辣椒油,北京交大二食堂
bj_302.jpg,酱爆鸡丁,12,酱香;微甜,鸡肉;黄酱;黄瓜,北京交大二食堂
bj_303.jpg,干煸四季豆,10,干辣;脆嫩,四季豆;肉末;干辣椒,北京交大二食堂
bj_304.jpg,小炒黄牛肉,16,香辣;嫩滑,黄牛肉;香菜;小米辣,北京交大二食堂
bj_305.jpg,酸汤肥牛,15,酸辣;金针菇,肥牛;酸汤;金针菇,北京交大二食堂
sh_306.jpg,鸡汁百叶包,8,鲜咸;鸡汁,猪肉;百叶;鸡汁,上海交大闵行
sh_307.jpg,蟹粉狮子头,14,蟹香;肉圆,猪肉;蟹粉;高汤,上海交大闵行
sh_308.jpg,油焖春笋,9,鲜咸;春笋,春笋;酱油;糖,上海交大闵行
sh_309.jpg,葱烤河鲫鱼,13,葱香;河鲜,河鲫鱼;大葱;生抽,上海交大闵行
sh_310.jpg,荠菜豆腐羹,6,清香;荠菜,荠菜;嫩豆腐;高汤,上海交大闵行
bj_311.jpg,辣炒花蛤,12,鲜辣;花蛤,花蛤;干辣椒;蒜末,北京林大
bj_312.jpg,酱骨头,19,酱香;浓肉,猪脊骨;黄豆酱;八角,北京林大
bj_313.jpg,白菜炖豆腐,6,清淡;炖煮,白菜;豆腐;虾皮,北京林大
bj_314.jpg,芹菜炒肉丝,8,咸鲜;脆嫩,猪肉;芹菜;红椒,北京林大
bj_315.jpg,蒜苗回锅肉,11,香辣;蒜苗,五花肉;蒜苗;豆瓣酱,北京林大
sh_316.jpg,上海炒素,7,清淡;素炒,豆芽;韭菜;千张,上海海洋大学
sh_317.jpg,开洋干丝,9,鲜咸;开洋,干丝;海米;高汤,上海海洋大学
sh_318.jpg,糖醋藕片,6,酸甜;脆藕,藕片;糖;醋,上海海洋大学
sh_319.jpg,红烧带鱼,14,咸鲜;带鱼,带鱼;酱油;糖,上海海洋大学
sh_320.jpg,芙蓉银鱼,10,滑嫩;银鱼,银鱼;蛋清;牛奶,上海海洋大学
bj_321.jpg,孜然羊肉粒,15,孜然;羊肉,羊肉;孜然;彩椒,北京科大
bj_322.jpg,黑椒牛柳粒,16,黑椒;嫩牛,牛柳;黑胡椒;洋葱,北京科大
bj_323.jpg,铁板茄子,9,酱香;茄子,茄子;肉末;铁板,北京科大
bj_324.jpg,干锅土豆片,8,香辣;土豆,土豆;五花肉;干辣椒,北京科大
bj_325.jpg,口水杏鲍菇,7,麻辣;杏鲍菇,杏鲍菇;花椒;辣椒油,北京科大
sh_326.jpg,本帮鳝丝,18,鲜咸;鳝鱼,鳝鱼;韭菜;生抽,上海师大
sh_327.jpg,油爆河虾,16,油爆;河虾,河虾;糖;生抽,上海师大
sh_328.jpg,红烧素鸡,6,酱香;素鸡,素鸡;酱油;糖,上海师大
sh_329.jpg,四喜烤麸,5,甜咸;烤麸,烤麸;木耳;花生,上海师大
sh_330.jpg,荠菜冬笋,8,清香;脆嫩,荠菜;冬笋;盐,上海师大
bj_331.jpg,辣白菜炒五花肉,12,酸辣;白菜,五花肉;辣白菜;青椒,北京理工
bj_332.jpg,韩式泡菜炒饭,10,微辣;泡菜,米饭;泡菜;鸡蛋,北京理工
bj_333.jpg,芝士焗红薯,9,奶香;芝士,红薯;马苏里拉;奶油,北京理工
bj_334.jpg,日式照烧鸡排,13,照烧;甜咸,鸡排;照烧汁;西兰花,北京理工
bj_335.jpg,泰式冬阴功汤,14,酸辣;香茅,虾;香茅;柠檬叶,北京理工
sh_336.jpg,越南河粉,11,清汤;河粉,河粉;牛肉;九层塔,上海理工
sh_337.jpg,新加坡叻沙,12,椰浆;微辣,米粉;椰浆;虾,上海理工
sh_338.jpg,马来西亚炒粿条,10,黑豉;微辣,粿条;豆芽;鸡蛋,上海理工
sh_339.jpg,印尼炒饭,9,甜辣;炒饭,米饭;鸡肉;虾片,上海理工
sh_340.jpg,菲律宾烤鸡,12,香茅;烤鸡,鸡肉;香茅;柠檬,上海理工
bj_341.jpg,意式奶油培根面,16,奶香;培根,意面;培根;奶油,北京交大二食堂
bj_342.jpg,西班牙海鲜饭,18,藏红;海鲜,米饭;藏红花;海鲜,北京交大二食堂
bj_343.jpg,法式红酒炖牛肉,20,红酒;牛肉,牛肉;红酒;胡萝卜,北京交大二食堂
bj_344.jpg,德式烤猪肘,22,咸香;脆皮,猪肘;啤酒;芥末,北京交大二食堂
bj_345.jpg,俄式罗宋汤,10,酸甜;红菜,红菜头;牛肉;番茄,北京交大二食堂
sh_346.jpg,美式汉堡排,14,黑椒;牛排,牛肉;黑胡椒;土豆,上海交大闵行
sh_347.jpg,墨西哥鸡肉卷,11,辣香;卷饼,鸡肉;生菜;莎莎酱,上海交大闵行
sh_348.jpg,巴西烤牛排,19,粗盐;炭烤,牛排;粗盐;柠檬,上海交大闵行
sh_349.jpg,阿根廷红虾,18,盐烤;红虾,红虾;海盐;柠檬,上海交大闵行
sh_350.jpg,秘鲁酸橘汁腌鱼,16,酸橘;生腌,鲈鱼;酸橘;辣椒,上海交大闵行
bj_351.jpg,东北饭包,8,酱香;饭包,米饭;鸡蛋;生菜,北京林大
bj_352.jpg,铁锅炖大鹅,20,酱香;大鹅,大鹅;土豆;干豆角,北京林大
bj_353.jpg,东北粘豆包,4,甜糯;豆包,糯米粉;红豆;糖,北京林大
bj_354.jpg,锦州烧烤,2,孜然;炭烤,羊肉;孜然;辣椒面,北京林大
bj_355.jpg,抚顺麻辣拌,9,麻辣;拌菜,土豆;藕片;麻辣酱,北京林大
bj_356.jpg,哈尔滨红肠,6,蒜香;红肠,红肠;大蒜;芥末,北京林大
bj_357.jpg,齐齐哈尔烤肉,14,孜然;炭烤,牛肉;孜然;洋葱,北京林大
bj_358.jpg,大庆扒鸡,11,五香;扒鸡,土鸡;香料;糖,北京林大
bj_359.jpg,佳木斯拌面,9,酱香;拌面,面条;肉酱;黄瓜,北京林大
bj_360.jpg,东北大拉皮,7,酸辣;拉皮,拉皮;黄瓜;醋,北京林大
sh_361.jpg,湖北热干面,8,麻酱;干拌,碱面;芝麻酱;萝卜丁,上海海洋大学
sh_362.jpg,武汉豆皮,4,豆皮;糯米,糯米;鸡蛋;豆皮,上海海洋大学
sh_363.jpg,武昌鱼,16,清蒸;武昌鱼,武昌鱼;蒸鱼豉油;葱,上海海洋大学
sh_364.jpg,荆州鱼糕,10,嫩滑;鱼糜,草鱼糜;蛋清;淀粉,上海海洋大学
sh_365.jpg,洪湖鸭焖莲藕,14,鲜咸;藕香,土鸭;莲藕;生抽,上海海洋大学
sh_366.jpg,湖南剁椒鱼头,19,剁椒;鱼头,胖头鱼;剁椒;蒸制,上海海洋大学
sh_367.jpg,口味虾,16,口味;麻辣,小龙虾;剁椒;花椒,上海海洋大学
sh_368.jpg,长沙糖油粑粑,4,甜糯;油炸,糯米粉;红糖;油,上海海洋大学
sh_369.jpg,湖南酱板鸭,15,酱香;板鸭,麻鸭;酱卤;辣椒,上海海洋大学
sh_370.jpg,刮凉粉,5,酸辣;爽滑,凉粉;醋;辣椒,上海海洋大学
sh_371.jpg,江西瓦罐汤,8,瓦罐;炖汤,土鸡;山药;枸杞,上海师大
sh_372.jpg,南昌拌粉,7,酸辣;拌粉,米粉;醋;辣椒,上海师大
sh_373.jpg,鄱阳湖胖鱼头,17,鲜辣;鱼头,胖头鱼;辣椒;蒸制,上海师大
sh_374.jpg,景德镇冷粉,6,冷吃;酸辣,米粉;醋;辣椒,上海师大
sh_375.jpg,九江茶饼,3,茶香;酥脆,面粉;茶油;芝麻,上海师大
sh_376.jpg,四川回锅肉,12,香辣;豆豉,五花肉;青椒;豆豉,上海理工
sh_377.jpg,成都麻婆豆腐,8,麻辣;嫩豆,豆腐;肉末;豆瓣酱,上海理工
sh_378.jpg,重庆水煮鱼,16,麻辣;鱼片,草鱼;豆芽;干辣椒,上海理工
sh_379.jpg,乐山钵钵鸡,10,麻辣;冷串,鸡肉;藕片;辣椒油,上海理工
sh_380.jpg,宜宾燃面,7,干香;燃面,面条;芽菜;花生,上海理工
sh_381.jpg,云南过桥米线,10,清汤;米线,米线;土鸡;韭菜,上海理工
sh_382.jpg,汽锅鸡,16,清汤;汽锅,土鸡;汽锅;枸杞,上海理工
sh_383.jpg,宣威火腿,20,咸香;火腿,宣威火腿;蜂蜜;白酒,上海理工
sh_384.jpg,云南饵块,6,软糯;饵块,饵块;肉末;酸菜,上海理工
sh_385.jpg,野生菌火锅,25,菌香;火锅,鸡枞;牛肝菌;高汤,上海理工
sh_386.jpg,海南文昌鸡,22,清淡;原味,文昌鸡;生姜;葱,上海理工
sh_387.jpg,加积鸭,20,咸鲜;肥美,加积鸭;盐;生姜,上海理工
sh_388.jpg,东山羊,18,无膻;羊肉,东山羊;清汤;枸杞,上海理工
sh_389.jpg,和乐蟹,16,鲜甜;蟹肉,和乐蟹;蒸制;姜醋,上海理工
sh_390.jpg,海南粉,8,酸辣;米粉,海南粉;酸菜;牛肉干,上海理工
sh_391.jpg,广西螺蛳粉,9,酸辣;臭笋,米粉;酸笋;腐竹,上海大学
sh_392.jpg,桂林米粉,8,卤香;干粉,米粉;卤汁;叉烧,上海大学
sh_393.jpg,阳朔啤酒鱼,17,啤酒;鱼香,漓江鱼;啤酒;番茄,上海大学
sh_394.jpg,荔浦芋扣肉,15,软糯;芋香,五花肉;荔浦芋;腐乳,上海大学
sh_395.jpg,梧州纸包鸡,14,纸包;锁汁,三黄鸡;香菇;蚝油,上海大学
sh_396.jpg,河南烩面,10,浓汤;烩面,羊汤;宽面;海带,上海大学
sh_397.jpg,郑州胡辣汤,6,胡辣;早餐,牛肉;面筋;胡椒,上海大学
sh_398.jpg,开封灌汤包,5,灌汤;小笼,猪肉;皮冻;薄皮,上海大学
sh_399.jpg,洛阳水席燕菜,20,酸辣;燕窝丝,白萝卜;燕窝;高汤,上海大学
sh_400.jpg,道口烧鸡,15,五香;烧鸡,土鸡;香料;糖,上海大学
