照片文件名,菜品名,价格(元),口味标签,食材,备注
bj_401.jpg,椒麻鸡丝,16,椒麻;微辣,鸡胸肉;花椒油;小葱,北京交大二食堂
bj_402.jpg,酸菜汆白肉,13,酸爽;汆煮,五花肉;酸菜;粉丝,北京交大二食堂
bj_403.jpg,蒜蓉粉丝蒸扇贝,18,蒜香;海鲜,扇贝;粉丝;大蒜,北京交大二食堂
bj_404.jpg,干煎小黄鱼,12,干香;煎制,小黄鱼;盐;生姜,北京交大二食堂
bj_405.jpg,酱焖茄子,8,酱香;软烂,茄子;黄豆酱;肉末,北京交大二食堂
sh_406.jpg,上海白切羊肉,14,清淡;原味,带皮羊肉;生姜;葱,上海交大闵行
sh_407.jpg,红烧羊肉,15,酱香;浓味,羊肉;冰糖;酱油,上海交大闵行
sh_408.jpg,羊肉炉,13,药膳;温补,羊肉;当归;枸杞,上海交大闵行
sh_409.jpg,清炖羊蝎子,12,清鲜;羊蝎,羊蝎子;白萝卜;生姜,上海交大闵行
sh_410.jpg,铁板孜然羊肉,17,孜然;铁板,羊肉;孜然;洋葱,上海交大闵行
bj_411.jpg,西北手抓羊肉,16,原味;手抓,羊肋排;花椒盐;洋葱,北京林大
bj_412.jpg,兰州拉面,9,清汤;牛肉,面条;牛肉片;白萝卜,北京林大
bj_413.jpg,大盘鸡,18,香辣;土豆,土鸡;土豆;青椒,北京林大
bj_414.jpg,馕包肉,15,酱香;馕,羊肉;馕;洋葱,北京林大
bj_415.jpg,烤羊肉串,2,孜然;炭烤,羊肉;孜然;辣椒面,北京林大
sh_416.jpg,上海生煎,2,酥脆;肉汁,猪肉;面粉;芝麻,上海海洋大学
sh_417.jpg,蟹壳黄,3,酥脆;芝麻,面粉;猪油;芝麻,上海海洋大学
sh_418.jpg,南翔小笼,2,薄皮;汤鲜,猪肉;皮冻;面粉,上海海洋大学
sh_419.jpg,四喜烤麸,5,甜咸;烤麸,烤麸;木耳;花生,上海海洋大学
sh_420.jpg,百叶包肉,8,咸鲜;百叶,猪肉;百叶;高汤,上海海洋大学
bj_421.jpg,天津煎饼果子,6,酥脆;蛋香,绿豆面;鸡蛋;油条,北京科大
bj_422.jpg,狗不理包子,3,鲜咸;灌汤,猪肉;面粉;皮冻,北京科大
bj_423.jpg,耳朵眼炸糕,4,甜糯;油炸,糯米粉;红豆;糖,北京科大
bj_424.jpg,十八街麻花,5,酥脆;五香,面粉;芝麻;糖,北京科大
bj_425.jpg,锅巴菜,5,卤香;锅巴,锅巴;卤汁;香菜,北京科大
sh_426.jpg,老上海焖蹄面,12,浓汤;焖蹄,面条;猪蹄;青菜,上海大学
sh_427.jpg,素蟹粉包,3,素香;蟹味,土豆;胡萝卜;醋,上海大学
sh_428.jpg,双酿团,4,甜糯;双馅,糯米;豆沙;芝麻,上海大学
sh_429.jpg,擂沙圆,5,豆香;圆子,糯米圆子;红豆;糖,上海大学
sh_430.jpg,排骨年糕,8,咸甜;年糕,排骨;年糕;糖,上海大学
bj_431.jpg,保定驴肉火烧,7,酥脆;驴肉,火烧;驴肉;香菜,北京农大
bj_432.jpg,石家庄宫面,8,清汤;宫面,宫面;鸡汤;香菇,北京农大
bj_433.jpg,正定马家卤鸡,15,卤香;脱骨,土鸡;老卤;香料,北京农大
bj_434.jpg,金凤扒鸡,12,五香;扒制,土鸡;五香粉;糖,北京农大
bj_435.jpg,棋子烧饼,3,酥脆;肉香,面粉;猪肉;芝麻,北京农大
sh_436.jpg,河北驴打滚,4,甜糯;豆面,糯米;红豆;黄豆面,上海师大
sh_437.jpg,唐山蜂蜜麻糖,5,蜂蜜;酥脆,面粉;蜂蜜;芝麻,上海师大
sh_438.jpg,石家庄回民扒鸡,13,五香;扒鸡,土鸡;香料;糖,上海师大
sh_439.jpg,保定面酱,2,酱香;蘸料,面粉;黄豆;盐,上海师大
sh_440.jpg,邯郸拽面,7,筋道;肉卤,面条;牛肉卤;香菜,上海师大
bj_441.jpg,山西刀削面,8,筋道;肉臊,刀削面;猪肉臊;香菜,北京理工
bj_442.jpg,太原头脑,10,药膳;浓汤,羊肉;山药;黄酒,北京理工
bj_443.jpg,平遥牛肉,15,咸鲜;牛肉,牛肉;盐;香料,北京理工
bj_444.jpg,过油肉,12,滑嫩;过油,猪肉;木耳;蒜,北京理工
bj_445.jpg,莜面栲栳栳,8,粗粮;蘸汁,莜面;番茄汁;蒜,北京理工
sh_446.jpg,山西猫耳朵,7,筋道;炒制,猫耳朵;鸡蛋;番茄,上海理工
sh_447.jpg,运城大盘鸡,16,香辣;土豆,土鸡;土豆;宽面,上海理工
sh_448.jpg,阳泉压饼,4,酥脆;压烤,面粉;鸡蛋;芝麻,上海理工
sh_449.jpg,定州焖子,6,五香;肉糕,猪肉;淀粉;香料,上海理工
sh_450.jpg,吕梁碗托,5,酸辣;碗托,荞麦;醋;辣椒,上海理工
bj_451.jpg,宁夏手抓羊肉,18,原味;手抓,滩羊肉;花椒盐;洋葱,北京交大二食堂
bj_452.jpg,银川羊肉泡馍,14,浓汤;泡馍,羊肉;馍;粉丝,北京交大二食堂
bj_453.jpg,吴忠炒糊饽,8,炒糊;饽子,面粉;羊肉;辣椒,北京交大二食堂
bj_454.jpg,固原烧鸡,12,五香;烧鸡,土鸡;香料;糖,北京交大二食堂
bj_455.jpg,中卫蒿子面,7,蒿子;面条,面粉;蒿子;羊肉,北京交大二食堂
sh_456.jpg,青海手抓羊肉,19,原味;手抓,滩羊肉;花椒盐;洋葱,上海交大闵行
sh_457.jpg,西宁羊肉泡馍,15,浓汤;泡馍,羊肉;馍;粉丝,上海交大闵行
sh_458.jpg,青海土火锅,22,麻辣;火锅,牛肉;丸子;蔬菜,上海交大闵行
sh_459.jpg,狗浇尿油饼,5,葱香;煎制,面粉;葱花;菜籽油,上海交大闵行
sh_460.jpg,甜醅,3,甜酒;发酵,青稞;酒曲;水,上海交大闵行
bj_461.jpg,新疆大盘鸡,20,香辣;土豆,土鸡;土豆;宽面,北京林大
bj_462.jpg,乌鲁木齐手抓饭,16,羊油;抓饭,羊肉;胡萝卜;米饭,北京林大
bj_463.jpg,烤羊肉串,2,孜然;炭烤,羊肉;孜然;辣椒,北京林大
bj_464.jpg,馕包肉,15,酱香;馕,羊肉;馕;洋葱,北京林大
bj_465.jpg,新疆酸奶,4,酸甜;发酵,牛奶;菌种;糖,北京林大
