照片文件名,菜品名,价格(元),口味标签,食材,备注
bj_501.jpg,北大燕南梅菜扣肉,16,咸鲜;梅菜,五花肉;梅干菜;生抽,北大燕南美食厅
bj_502.jpg,清华听涛菌菇炖鸡,18,清鲜;菌香,土鸡;榛蘑;枸杞,清华听涛园
bj_503.jpg,复旦北区香辣虾,22,香辣;虾肉,基围虾;干辣椒;花椒,复旦北区食堂
bj_504.jpg,浙大紫金港糖醋排骨,14,酸甜;排骨,猪肋排;糖;醋,浙大紫金港食堂
bj_505.jpg,南大六食堂咖喱土豆牛肉,15,咖喱;微辣,牛肉;土豆;咖喱块,南大六食堂
bj_506.jpg,武大桂园香煎大白鱼,20,咸鲜;煎鱼,大白鱼;盐;生姜,武大桂园
bj_507.jpg,中山大学松涛园白切文昌鸡,22,清淡;原味,文昌鸡;生姜;葱,中大松涛园
bj_508.jpg,川大江安校区麻婆豆腐,8,麻辣;嫩豆,豆腐;肉末;豆瓣酱,川大江安
bj_509.jpg,西交康桥苑干锅花菜,12,香辣;干锅,花菜;五花肉;干辣椒,西交康桥苑
bj_510.jpg,哈工大一校区东北大拉皮,7,酸辣;爽滑,拉皮;黄瓜;醋,哈工大一校区
bj_511.jpg,北大学五香菇滑鸡,10,咸鲜;嫩滑,鸡肉;香菇;生姜,北大学五食堂
bj_512.jpg,清华澜园大盘鸡,19,香辣;土豆,土鸡;土豆;宽面,清华澜园
bj_513.jpg,复旦南区干煎带鱼,13,咸鲜;煎制,带鱼;盐;生姜,复旦南区
bj_514.jpg,浙大玉泉校区东坡肉,18,甜咸;东坡,五花肉;黄酒;冰糖,浙大玉泉
bj_515.jpg,南大九食堂盐水鸭,14,咸鲜;鸭肉,鸭肉;花椒;盐,南大九食堂
bj_516.jpg,武大工学部烤鸡翅,12,蜜汁;烤制,鸡翅;蜂蜜;生抽,武大工学部
bj_517.jpg,中山大学学一酸辣土豆丝,5,酸辣;脆爽,土豆;醋;青椒,中大學一
bj_518.jpg,川大望江校区回锅肉,12,香辣;豆豉,五花肉;青椒;豆豉,川大望江
bj_519.jpg,西交创新港羊肉泡馍,15,浓汤;泡馍,羊肉;馍;粉丝,西交创新港
bj_520.jpg,哈工大天香园锅包肉,13,酸甜;酥脆,猪里脊;糖醋;胡萝卜,哈工大天香园
bj_521.jpg,北大畅春园京酱肉丝,11,甜咸;酱香,猪肉;甜面酱;葱丝,北大畅春园
bj_522.jpg,清华观畴园铁板牛柳,17,黑椒;嫩肉,牛柳;黑胡椒;洋葱,清华观畴园
bj_523.jpg,复旦北区酸汤肥牛,18,酸辣;金针菇,肥牛;酸汤;金针菇,复旦北区
bj_524.jpg,浙大紫金港油爆虾,20,油爆;甜鲜,河虾;糖;生抽,浙大紫金港
bj_525.jpg,南大六食堂红烧甲鱼,28,酱香;甲鱼,甲鱼;酱油;冰糖,南大六食堂
bj_526.jpg,武大信息学部蟹黄豆腐,14,鲜咸;蟹味,蟹黄;豆腐;高汤,武大信部
bj_527.jpg,中山大学松涛园烧鹅,24,酱香;烧鹅,鹅;五香粉;糖,中大松涛园
bj_528.jpg,川大江安水煮肉片,15,麻辣;肉片,猪肉;豆芽;干辣椒,川大江安
bj_529.jpg,西交康桥苑孜然羊排,19,孜然;羊排,羊排;孜然;洋葱,西交康桥苑
bj_530.jpg,哈工大天香园东北地三鲜,8,咸鲜;家常,茄子;土豆;青椒,哈工大天香园
