照片文件名,菜品名,价格(元),口味标签,食材,备注
sh_901.jpg,新师大昆仑盐水鸭,14,咸鲜;鸭肉,鸭肉;花椒;盐,新师大昆仑校区食堂
sh_902.jpg,新师大文光红烧狮子头,11,咸甜;大肉丸,猪肉;马蹄;生抽,新师大文光校区食堂
sh_903.jpg,新师大昆仑干煸豆角,6,微辣;干香,豆角;肉末;干辣椒,新师大昆仑食堂
sh_904.jpg,新师大文光京酱肉丝,11,甜咸;酱香,猪肉;甜面酱;葱丝,新师大文光食堂
sh_905.jpg,新师大昆仑咖喱土豆牛肉,15,咖喱;微辣,牛肉;土豆;咖喱块,新师大昆仑食堂
sh_906.jpg,新师大文光蟹黄豆腐,14,鲜咸;蟹味,蟹黄;豆腐;高汤,新师大文光食堂
sh_907.jpg,新师大昆仑毛豆炒鸡丁,12,咸鲜;毛豆,鸡肉;毛豆;红椒,新师大昆仑食堂
sh_908.jpg,新师大文光东坡肉,18,甜咸;东坡,五花肉;黄酒;冰糖,新师大文光食堂
sh_909.jpg,新师大昆仑酸菜鱼,16,酸辣;鱼片,黑鱼;酸菜;泡椒,新师大昆仑食堂
sh_910.jpg,新师大文光孜然羊肉粒,15,孜然;羊肉,羊肉;孜然;彩椒,新师大文光食堂
sh_911.jpg,贵大西校区盐水鸭,14,咸鲜;鸭肉,鸭肉;花椒;盐,贵大西校区食堂
sh_912.jpg,贵大东校区红烧狮子头,11,咸甜;大肉丸,猪肉;马蹄;生抽,贵大东校区食堂
sh_913.jpg,贵大西校区干煸豆角,6,微辣;干香,豆角;肉末;干辣椒,贵大西校区食堂
sh_914.jpg,贵大东校区京酱肉丝,11,甜咸;酱香,猪肉;甜面酱;葱丝,贵大东校区食堂
sh_915.jpg,贵大西校区咖喱土豆牛肉,15,咖喱;微辣,牛肉;土豆;咖喱块,贵大西校区食堂
sh_916.jpg,贵大东校区蟹黄豆腐,14,鲜咸;蟹味,蟹黄;豆腐;高汤,贵大东校区食堂
sh_917.jpg,贵大西校区毛豆炒鸡丁,12,咸鲜;毛豆,鸡肉;毛豆;红椒,贵大西校区食堂
sh_918.jpg,贵大东校区东坡肉,18,甜咸;东坡,五花肉;黄酒;冰糖,贵大东校区食堂
sh_919.jpg,贵大西校区酸菜鱼,16,酸辣;鱼片,黑鱼;酸菜;泡椒,贵大西校区食堂
sh_920.jpg,贵大东校区孜然羊肉粒,15,孜然;羊肉,羊肉;孜然;彩椒,贵大东校区食堂
sh_921.jpg,广西大学东盐水鸭,14,咸鲜;鸭肉,鸭肉;花椒;盐,广西大学东校园食堂
sh_922.jpg,广西大学西红烧狮子头,11,咸甜;大肉丸,猪肉;马蹄;生抽,广西大学西校园食堂
sh_923.jpg,广西大学东干煸豆角,6,微辣;干香,豆角;肉末;干辣椒,广西大学东校园食堂
sh_924.jpg,广西大学西京酱肉丝,11,甜咸;酱香,猪肉;甜面酱;葱丝,广西大学西校园食堂
sh_925.jpg,广西大学东咖喱土豆牛肉,15,咖喱;微辣,牛肉;土豆;咖喱块,广西大学东校园食堂
sh_926.jpg,广西大学西蟹黄豆腐,14,鲜咸;蟹味,蟹黄;豆腐;高汤,广西大学西校园食堂
sh_927.jpg,广西大学东毛豆炒鸡丁,12,咸鲜;毛豆,鸡肉;毛豆;红椒,广西大学东校园食堂
sh_928.jpg,广西大学西东坡肉,18,甜咸;东坡,五花肉;黄酒;冰糖,广西大学西校园食堂
sh_929.jpg,广西大学东酸菜鱼,16,酸辣;鱼片,黑鱼;酸菜;泡椒,广西大学东校园食堂
sh_930.jpg,广西大学西孜然羊肉粒,15,孜然;羊肉,羊肉;孜然;彩椒,广西大学西校园食堂
sh_931.jpg,海南大学海甸盐水鸭,14,咸鲜;鸭肉,鸭肉;花椒;盐,海南大学海甸校区食堂
sh_932.jpg,海南大学城西红烧狮子头,11,咸甜;大肉丸,猪肉;马蹄;生抽,海南大学城西校区食堂
sh_933.jpg,海南大学海甸干煸豆角,6,微辣;干香,豆角;肉末;干辣椒,海南大学海甸食堂
sh_934.jpg,海南大学城西京酱肉丝,11,甜咸;酱香,猪肉;甜面酱;葱丝,海南大学城西食堂
sh_935.jpg,海南大学海甸咖喱土豆牛肉,15,咖喱;微辣,牛肉;土豆;咖喱块,海南大学海甸食堂
sh_936.jpg,海南大学城西蟹黄豆腐,14,鲜咸;蟹味,蟹黄;豆腐;高汤,海南大学城西食堂
sh_937.jpg,海南大学海甸毛豆炒鸡丁,12,咸鲜;毛豆,鸡肉;毛豆;红椒,海南大学海甸食堂
