user,item,label
442,957,0
459,1040,0
281,1475,0
302,905,0
348,510,0
78,770,0
70,941,0
482,845,0
468,555,0
232,1369,0
472,869,0
17,826,0
81,1459,0
186,774,0
305,1233,0
158,1037,0
460,1234,0
284,1085,0
290,810,0
377,601,0
366,1338,0
388,1025,0
63,821,0
141,763,0
20,904,0
326,512,0
438,1199,0
55,1373,0
213,888,1
269,1061,0
492,706,0
433,631,0
302,842,0
135,1079,0
125,1173,0
31,1475,0
64,1383,0
289,1398,0
116,640,0
338,924,0
488,1161,0
395,1180,0
149,1413,0
216,1015,0
40,1295,0
5,1445,0
461,873,0
115,778,0
236,993,0
184,697,0
13,674,0
439,1200,0
174,997,0
262,871,0
266,828,0
169,915,0
255,1206,0
38,1216,0
48,1155,0
218,535,0
115,849,0
162,1224,0
281,1053,0
478,1200,0
34,991,0
93,1285,0
211,1473,0
3,1396,0
223,900,0
484,994,0
382,856,0
233,1346,0
52,644,0
21,883,0
94,1441,0
248,1461,0
232,526,0
116,510,0
161,1191,0
427,594,0
30,1487,0
487,1406,0
379,585,0
199,1330,0
377,547,0
285,1385,0
63,1409,0
361,908,0
16,538,0
65,1132,0
91,1448,0
332,889,0
91,670,0
108,710,0
338,1166,0
408,1012,0
324,643,0
404,1221,0
174,1265,0
234,1114,0
9,1483,0
38,687,0
276,554,1
435,1226,0
445,1244,0
392,1467,0
243,1084,0
126,651,0
299,1166,0
27,720,0
369,1270,0
80,1463,0
381,792,0
169,1306,0
291,1328,0
31,814,0
199,1217,0
0,926,0
99,813,0
79,1015,1
499,758,1
115,1232,1
195,1213,0
92,838,0
243,833,0
29,1075,1
24,1041,0
155,823,0
350,657,0
439,1439,0
158,1471,0
391,528,0
114,816,0
245,1231,0
54,1241,0
122,1281,0
43,1285,0
112,1007,0
393,926,0
316,1219,0
141,1421,1
68,1104,0
1,1173,0
311,559,0
242,1449,0
250,674,0
451,1295,0
253,886,0
61,1408,0
266,1441,0
300,1158,0
57,777,0
185,1241,1
306,630,0
353,1416,0
277,635,0
40,729,0
20,1382,0
276,1240,0
255,1201,0
122,941,0
457,987,0
405,1070,0
215,1080,0
137,990,0
384,979,0
220,610,0
15,536,0
135,908,0
128,1080,1
256,1218,0
432,897,0
165,1367,0
23,568,0
87,749,0
179,1211,0
172,661,0
40,629,0
218,1233,1
275,909,0
131,1150,0
166,1379,0
299,785,0
378,887,1
336,1314,0
491,881,0
395,974,0
414,826,0
266,1234,0
9,1024,0
353,969,0
290,1042,0
235,1399,0
139,640,0
185,787,0
55,823,0
476,1074,0
360,1451,0
18,901,0
253,608,0
311,562,1
494,882,0
491,1268,0
54,1003,0
86,966,0
70,919,0
350,669,0
13,846,0
173,1147,0
72,895,0
164,860,0
477,1415,1
284,1474,0
147,732,0
121,1108,0
168,928,0
262,1483,0
222,966,0
264,1054,0
361,1300,0
236,793,0
360,1386,1
75,889,0
270,1391,0
33,1205,0
108,700,0
288,1064,0
330,1214,0
181,989,0
101,1478,0
497,875,0
221,1393,0
343,737,0
420,617,0
64,1025,0
405,1352,0
191,978,0
418,1276,0
196,904,0
453,1168,0
211,912,0
377,822,0
404,575,0
83,1050,0
301,680,0
177,1377,0
124,1392,0
260,1403,0
404,601,0
467,1389,0
473,1065,0
495,754,0
470,1465,0
135,1090,0
425,810,0
382,1008,0
73,1128,0
59,1402,0
1,641,0
412,556,0
455,1372,0
24,1090,0
486,812,1
237,1194,0
477,1112,0
455,647,0
32,981,0
492,1246,0
498,623,0
356,707,0
302,1347,0
58,1093,0
75,1259,0
206,1075,0
254,1437,0
85,802,0
366,576,0
257,1261,0
48,622,1
196,562,0
28,1091,0
312,1367,0
188,1175,1
383,1314,0
57,1346,0
248,1243,0
374,1166,0
471,1463,0
23,1429,0
421,655,0
264,1223,0
295,1216,0
170,1125,0
337,726,0
428,1472,0
76,1365,0
463,732,0
298,1147,0
321,948,0
433,1083,0
177,1195,0
480,1233,0
376,1024,0
158,950,0
205,1238,0
51,1343,0
464,796,0
160,1268,1
148,768,0
430,875,0
463,1147,0
122,716,0
82,1055,0
295,1401,0
296,1336,0
157,902,0
297,1448,0
364,753,0
479,1073,0
120,1140,0
402,702,0
296,606,0
291,1185,0
438,1051,0
417,1204,0
120,1134,0
6,1455,0
489,577,0
83,1388,0
484,753,1
179,702,0
431,542,0
213,1215,0
446,1446,0
339,615,0
332,1183,0
90,532,0
106,615,0
328,947,0
464,1104,0
107,506,0
312,1190,0
206,1298,0
215,934,0
319,1295,0
100,1196,0
132,1034,0
431,1195,0
437,1167,0
192,1458,0
81,1168,0
175,968,0
43,1062,0
15,1055,0
231,571,0
442,978,0
381,1128,0
65,871,0
111,1279,0
337,1362,0
251,877,0
147,667,0
474,1156,0
415,577,0
45,589,0
470,1461,0
13,568,0
223,1267,0
455,764,0
476,1304,0
182,597,0
372,891,0
330,940,0
416,1410,1
404,1394,0
409,1454,0
422,509,1
239,898,0
44,1452,0
97,533,0
493,525,0
13,1076,0
274,763,0
7,906,0
73,1438,0
489,902,0
68,1321,0
307,816,0
468,1261,0
345,751,0
62,651,0
135,1135,0
282,1212,0
146,585,0
207,504,0
208,758,0
397,1316,0
367,841,0
172,501,0
11,1229,0
261,1033,0
333,939,0
264,830,0
27,1051,0
404,1280,0
194,1194,0
103,693,0
206,870,1
127,642,0
297,506,0
261,960,1
178,1174,0
439,557,0
100,739,0
59,1163,0
346,795,0
436,851,0
438,540,0
274,909,0
460,1343,0
227,1251,0
284,820,0
459,1343,0
250,1027,0
139,1142,1
175,1460,0
343,649,0
327,662,0
164,1071,0
79,1263,0
336,744,0
221,645,0
71,567,0
226,971,0
456,1074,0
469,1314,1
449,1431,0
385,1357,1
463,613,0
424,1292,1
33,1146,0
91,896,0
228,514,0
76,1424,0
246,1074,0
391,1411,0
78,961,0
250,1209,0
381,1145,0
64,621,0
263,808,0
481,827,0
33,1361,0
216,932,0
327,664,0
235,599,0
330,1209,0
75,1079,0
309,1305,0
393,805,0
350,968,0
16,1112,0
480,1346,0
196,1267,0
95,1233,0
233,969,0
9,635,0
488,1172,0
420,834,0
323,1351,0
409,503,0
234,700,0
250,767,0
372,604,1
205,884,0
217,1138,0
493,631,0
245,1286,1
496,871,0
203,1165,0
201,1154,0
218,1377,0
231,854,0
282,735,0
209,1251,0
408,1013,0
46,1193,0
411,1227,0
407,909,0
230,1282,0
396,1390,0
357,1075,0
279,1245,1
170,1289,0
168,653,0
371,1360,0
105,1101,0
140,819,0
488,1447,0
256,880,0
444,859,0
189,1432,0
457,1426,0
146,1264,0
10,1336,0
497,1445,0
383,1188,0
414,788,0
69,784,0
23,1063,0
234,1181,0
28,620,0
301,543,0
124,695,0
114,1091,0
442,1467,0
276,549,0
251,1146,0
219,990,0
109,1179,0
145,855,0
432,648,0
344,1251,0
366,904,0
281,752,0
262,647,0
21,1483,0
200,959,0
247,748,0
452,1121,0
486,1155,0
312,1478,0
267,784,0
34,685,0
215,549,0
460,1031,0
293,790,0
289,686,0
454,1128,0
128,1355,0
242,1311,0
479,1111,0
179,1013,0
181,1425,0
350,1301,0
51,538,0
306,1256,0
287,725,0
28,685,1
279,562,0
200,1436,0
114,830,1
352,914,0
1,507,0
480,1452,0
426,597,0
456,1264,0
318,538,0
457,972,0
403,1319,1
273,1468,0
316,987,0
330,569,0
56,1238,0
430,1477,0
362,1255,0
152,837,0
348,1417,0
263,896,0
99,1481,0
439,583,0
444,963,0
237,1108,0
104,956,1
320,602,0
186,902,0
205,1378,0
66,1249,0
37,851,0
77,1017,0
327,1159,0
283,604,0
403,688,0
4,845,0
431,733,0
314,1026,0
228,1427,0
191,892,0
378,1467,0
262,1120,0
496,794,0
362,1191,0
459,603,0
280,795,0
387,728,0
331,642,0
321,1060,0
144,721,0
429,1160,0
352,1398,0
493,851,1
360,614,0
488,1002,1
183,837,0
232,1251,0
173,866,0
218,708,0
499,807,0
186,1231,0
92,1073,0
319,1446,0
410,938,0
48,511,0
274,869,0
464,957,0
172,904,0
429,634,0
44,810,0
70,822,0
476,897,0
132,858,0
202,1087,0
482,710,0
450,1439,0
316,720,0
44,1421,0
363,695,0
261,1155,0
63,1193,0
354,812,0
357,1128,0
39,1244,0
173,592,0
0,1131,0
121,1458,0
174,792,0
312,905,0
385,1400,0
5,1282,0
423,830,0
162,1409,0
38,1186,0
457,1008,0
88,833,0
342,1439,0
365,1054,0
104,1406,0
209,572,0
283,1076,1
206,532,0
275,1336,0
345,774,0
252,840,0
174,509,0
417,825,0
386,1085,0
248,1476,0
169,1188,0
475,1138,0
55,913,0
370,904,0
42,544,0
173,523,0
57,662,0
184,1113,1
472,1420,0
94,732,0
331,592,0
314,1118,1
107,1468,0
10,631,0
268,1093,1
189,1409,1
437,1006,0
202,659,0
59,1467,0
57,1227,0
328,829,0
395,732,0
213,870,0
337,1445,0
65,1118,0
64,634,0
24,911,0
337,834,0
437,1024,0
113,965,0
107,1156,0
91,1319,0
190,1369,1
78,614,0
107,1250,0
63,1169,0
480,703,0
314,1049,0
179,661,0
143,977,0
187,680,0
132,910,1
9,1179,0
132,1213,0
360,858,0
453,710,0
2,944,1
421,590,0
223,561,0
312,769,0
212,962,0
55,1040,0
148,1052,0
306,1438,0
327,1256,0
226,1154,0
449,1016,0
337,916,0
407,993,0
156,955,0
148,1145,0
368,1308,0
333,1019,0
182,766,0
332,994,0
412,755,0
408,1139,0
387,829,0
422,870,0
371,1184,0
3,786,0
236,538,0
406,1067,0
140,767,0
450,1270,0
85,1193,0
403,1009,0
34,1358,0
376,1184,0
181,1064,0
441,1383,0
219,1311,0
171,531,0
102,687,0
282,1356,0
470,1167,0
326,891,0
499,943,0
50,907,0
114,1219,0
496,1037,0
73,997,0
269,861,0
173,574,0
171,587,1
427,1202,0
229,1393,0
407,767,0
412,1086,0
372,591,0
426,1009,0
456,1166,0
106,1274,1
242,979,0
77,917,0
257,1008,0
220,790,0
15,574,0
393,574,0
87,715,0
213,1410,0
205,1277,0
130,1296,0
50,697,0
211,834,1
125,641,0
34,1394,0
390,1127,0
405,1230,1
258,1404,0
310,1052,0
194,1300,0
108,1158,0
323,1214,0
309,594,0
86,705,0
394,907,0
449,1291,0
293,920,0
5,1026,0
182,1099,0
286,814,0
99,855,0
247,1113,0
55,1458,0
268,1111,0
480,576,0
111,591,0
310,501,0
380,1262,0
404,1347,0
298,1129,0
52,1208,0
259,939,0
95,962,0
216,734,0
127,1361,0
424,761,0
369,668,0
2,1176,0
370,1099,0
278,1096,0
10,961,0
55,709,0
421,1435,0
241,1219,0
484,738,0
465,998,0
190,965,0
444,1258,0
227,1379,0
144,612,0
398,1028,0
436,973,0
455,913,0
481,893,0
64,542,0
474,1065,0
426,575,0
376,1027,0
215,1164,0
9,1313,0
346,1275,0
451,1187,0
354,897,1
234,818,0
253,1298,0
120,1277,0
220,1074,0
165,704,0
414,587,0
125,738,0
351,887,0
392,932,0
36,1206,0
317,576,1
271,1247,0
414,502,0
69,1255,0
180,1275,0
353,785,0
463,1132,0
95,1189,0
426,736,0
485,1416,1
453,749,0
152,897,0
331,1325,0
72,1294,0
311,831,0
164,1315,0
377,651,0
71,1389,0
60,860,0
435,1036,0
368,718,0
356,827,0
121,773,0
26,1458,0
287,1315,0
82,578,0
207,1272,0
359,1037,0
341,532,0
257,986,0
348,698,0
375,747,0
364,1233,0
71,1203,0
252,940,0
43,1380,1
112,1024,0
280,982,0
364,1286,0
136,1022,0
162,759,0
46,732,0
460,1136,0
85,776,0
488,680,0
281,593,0
58,1177,0
141,873,0
471,1152,0
270,983,0
264,1021,0
275,737,0
191,557,0
90,829,0
225,1266,0
23,806,0
133,971,0
8,1014,0
417,1390,0
279,1146,0
399,1178,0
423,808,0
413,1032,0
271,551,0
339,1126,0
11,1026,0
316,946,0
236,1118,1
381,1408,0
52,658,0
402,1218,0
109,1133,0
354,1143,0
9,704,0
361,990,0
193,1479,0
471,1078,0
174,807,0
41,787,0
201,542,0
299,773,0
285,1022,0
375,1056,0
471,609,0
114,1302,0
201,940,0
282,1058,0
312,1217,0
462,755,0
23,805,0
248,846,0
137,926,0
319,1462,1
248,976,0
460,690,0
249,1260,0
314,1108,0
283,619,0
281,1120,0
488,1316,0
236,1132,0
249,779,0
320,529,0
366,1450,0
288,1191,0
317,616,0
119,1070,0
46,793,0
68,655,0
262,502,0
342,1401,0
183,1331,0
376,834,0
403,1141,0
47,1195,0
324,1040,0
334,1224,0
341,887,0
245,636,1
296,1216,0
95,1450,0
182,1052,0
244,1339,0
189,1133,0
216,1197,0
27,1384,0
495,1274,0
5,711,0
288,1147,0
327,719,0
88,509,0
265,1196,0
367,1190,0
326,1139,0
308,550,0
76,529,0
291,951,0
9,1135,0
216,1078,0
305,810,0
404,561,0
209,893,0
275,633,1
112,1013,1
439,576,0
138,1131,0
216,593,0
328,1448,0
317,941,0
371,1321,0
12,512,0
123,1401,0
437,1315,0
33,1103,0
491,1350,0
413,575,0
493,1214,0
357,735,0
65,1342,0
351,506,0
18,1430,0
42,1363,0
212,760,0
165,801,0
398,1085,0
197,722,0
78,1476,0
322,1027,0
199,872,0
164,1357,0
487,979,0
66,951,0
428,880,0
377,740,0
219,940,0
441,634,0
413,652,0
38,1481,1
491,1347,0
275,554,0
152,1105,0
364,829,0
114,1074,0
170,1162,0
419,1241,0
250,535,0
131,722,0
88,866,0
149,957,0
347,870,0
498,1064,0
121,639,1
475,1323,0
25,1072,1
